IDMachines,PeopleAtwork,StreetLights,Accidents,DamagedMovers,StRoadLength,RoadCurvature,HPBends,RoadType,RoadWidth,AvgSpeed,AgeOfRoad,RoadSurface
3,8,530,50,1,1010,222.36,35,2,23,3.06,13,Poor
3,7,433,47,3,1131,194.7,35,2,33,2.93,11,Poor
8,18,887,5,7,6867,41.77,2,0,94,0.11,3,Good
1,8,544,41,1,1158,235.46,44,2,28,3.47,15,Poor
4,14,635,20,4,3028,80.25,28,1,44,1.05,8,Avg
6,13,794,24,5,4360,107.24,28,1,59,1.31,7,Avg
5,11,721,33,5,4938,86.7,27,1,49,0.92,10,Avg
7,17,819,13,9,6165,19.62,0,0,95,0.28,2,Good
2,10,403,46,2,1643,211.13,35,2,26,3.19,15,Poor
1,10,509,45,2,1500,230.1,45,2,24,3.41,14,Poor
3,8,508,40,2,1622,185.15,42,2,25,3.48,10,Poor
6,11,624,26,5,3973,121.5,21,1,43,1.0,8,Avg
1,9,515,50,1,1754,196.28,44,2,31,3.5,15,Poor
3,9,489,42,3,1687,246.26,36,2,28,3.36,15,Poor
7,17,916,3,7,6906,23.55,8,0,80,0.23,4,Good
7,20,1069,18,8,5175,64.95,8,0,89,0.28,3,Good
5,12,690,31,4,3173,81.86,24,1,48,0.99,7,Avg
3,7,465,49,1,1911,247.34,37,2,38,3.64,15,Poor
3,9,595,43,1,1358,237.33,36,2,21,3.88,10,Poor
2,7,484,44,1,1498,186.6,39,2,38,3.73,10,Poor
1,8,538,45,3,1326,168.21,46,2,30,3.24,12,Poor
10,17,952,11,10,5285,58.69,13,0,75,0.27,0,Good
7,20,1011,1,8,8003,13.79,6,0,69,0.27,6,Good
2,8,435,50,2,1794,243.31,34,2,34,2.74,15,Poor
1,8,412,41,3,1664,185.86,40,2,40,3.82,13,Poor
5,15,739,33,6,2681,124.86,29,1,55,0.72,9,Avg
10,17,837,19,9,8354,85.71,1,0,91,0.11,4,Good
4,12,741,31,5,3780,84.29,15,1,47,0.78,11,Avg
10,19,1042,5,7,8404,79.92,12,0,88,0.4,1,Good
1,8,421,45,3,1107,212.34,41,2,30,3.61,14,Poor
7,19,1069,11,7,6653,11.72,10,0,91,0.25,0,Good
10,18,1040,15,7,6134,54.07,6,0,91,0.17,5,Good
8,16,1059,3,7,5029,40.54,12,0,67,0.15,0,Good
5,15,720,32,4,4362,127.54,23,1,45,1.36,7,Avg
4,14,768,27,4,4473,96.82,25,1,55,0.84,10,Avg
4,15,783,33,4,4587,121.42,15,1,51,0.87,9,Avg
9,16,1079,12,10,7048,21.1,9,0,95,0.32,7,Good
4,15,728,39,5,2539,126.41,17,1,59,0.85,8,Avg
8,17,965,13,7,7522,8.22,11,0,74,0.33,0,Good
5,13,677,23,5,4761,115.26,21,1,41,0.71,8,Avg
2,9,547,50,3,1995,198.59,42,2,22,2.6,15,Poor
5,15,661,29,5,4909,79.54,26,1,46,1.08,10,Avg
5,13,705,21,5,4665,133.18,20,1,51,1.38,6,Avg
10,16,935,13,10,5286,85.36,11,0,67,0.31,4,Good
1,8,591,43,2,1268,190.36,34,2,31,3.42,12,Poor
8,16,1049,17,10,6949,2.14,3,0,100,0.12,0,Good
7,17,989,2,9,8363,10.53,3,0,66,0.28,4,Good
3,8,402,43,3,1271,168.26,36,2,26,2.52,15,Poor
8,16,1007,18,10,5638,17.12,8,0,76,0.16,4,Good
7,17,1076,9,8,7649,78.48,1,0,66,0.25,1,Good
5,11,792,24,5,3004,93.38,15,1,49,1.07,6,Avg
2,10,548,46,1,1428,247.43,31,2,21,2.6,13,Poor
5,12,747,21,4,2579,120.09,29,1,47,1.03,10,Avg
5,15,704,34,6,3086,108.89,20,1,48,0.91,8,Avg
2,8,550,46,1,1839,239.37,40,2,37,3.13,13,Poor
6,15,702,34,5,3567,144.36,24,1,56,1.32,10,Avg
8,18,831,16,8,5859,81.12,5,0,85,0.23,0,Good
2,8,547,45,1,1212,222.15,39,2,29,3.53,14,Poor
3,10,600,46,3,1050,195.96,49,2,37,3.39,15,Poor
7,17,1000,1,10,6772,2.35,9,0,62,0.28,0,Good
3,7,498,45,2,1970,155.11,43,2,26,3.17,15,Poor
2,7,553,46,1,1212,218.98,31,2,22,2.81,13,Poor
9,17,981,2,10,8410,51.96,0,0,94,0.18,4,Good
9,16,941,16,8,7899,82.15,13,0,93,0.15,6,Good
9,17,911,1,8,7093,62.22,8,0,63,0.19,1,Good
1,9,495,41,1,1896,210.6,32,2,37,3.02,14,Poor
10,16,898,2,7,8358,88.02,9,0,98,0.47,1,Good
2,8,420,43,2,1873,164.77,46,2,26,3.97,12,Poor
8,16,826,9,7,5786,38.18,0,0,71,0.15,0,Good
8,20,951,7,8,6758,19.87,8,0,78,0.14,6,Good
10,18,826,8,7,8264,3.95,1,0,69,0.16,3,Good
8,19,998,4,8,8937,15.58,5,0,86,0.25,0,Good
2,9,495,40,1,1506,189.06,48,2,21,2.6,15,Poor
5,11,755,25,4,3830,107.25,16,1,57,1.43,9,Avg
4,11,749,31,5,2787,101.36,29,1,41,0.72,10,Avg
3,8,523,45,1,1624,236.23,43,2,30,2.58,13,Poor
3,9,404,49,1,1878,173.34,44,2,30,3.72,14,Poor
5,12,781,21,5,4576,111.06,24,1,58,1.46,9,Avg
4,14,668,26,5,3176,110.38,26,1,52,1.38,11,Avg
10,17,948,6,7,8620,72.82,10,0,62,0.34,0,Good
5,15,723,31,5,2532,98.42,16,1,42,0.93,7,Avg
7,18,847,13,9,8485,5.14,3,0,89,0.28,0,Good
2,7,503,46,3,1717,220.4,50,2,35,3.11,12,Poor
6,11,626,24,5,2329,88.64,18,1,53,0.85,7,Avg
7,16,1021,15,10,5019,78.12,2,0,65,0.43,0,Good
3,9,450,50,1,1254,178.42,31,2,35,3.97,14,Poor
2,7,465,40,3,1372,201.31,41,2,31,3.02,13,Poor
6,13,636,32,4,4339,139.29,21,1,43,1.0,9,Avg
5,14,755,31,5,2784,120.74,26,1,42,1.3,8,Avg
8,18,811,15,7,5762,28.36,4,0,65,0.18,5,Good
2,9,498,49,1,1581,176.65,45,2,28,2.52,12,Poor
8,20,1099,13,10,6791,86.29,13,0,63,0.34,0,Good
6,14,709,28,4,3931,128.39,23,1,43,1.3,9,Avg
6,11,722,25,5,4844,92.76,24,1,42,0.68,11,Avg
8,20,946,9,10,8910,42.03,13,0,65,0.48,0,Good
8,20,874,7,10,5673,23.23,1,0,96,0.45,6,Good
6,12,618,31,4,2951,86.88,26,1,46,0.9,7,Avg
9,17,1052,2,8,6989,79.77,4,0,92,0.13,7,Good
4,13,687,34,6,2719,79.51,29,1,42,0.61,8,Avg
3,8,416,47,1,1425,247.58,31,2,27,3.75,12,Poor
10,16,874,14,8,5101,38.32,8,0,86,0.28,0,Good
8,17,932,19,7,8290,54.84,1,0,61,0.13,2,Good
5,14,735,28,5,4146,106.17,21,1,50,1.37,8,Avg
3,9,489,47,1,1518,248.97,48,2,23,3.74,15,Poor
6,11,650,33,4,3000,102.63,27,1,59,0.67,9,Avg
4,15,730,24,4,2303,148.65,20,1,47,0.67,8,Avg
1,10,515,50,3,1147,210.66,45,2,32,2.99,10,Poor
6,11,745,31,5,3039,146.26,23,1,45,0.73,7,Avg
1,10,546,50,1,1239,163.33,50,2,37,3.44,14,Poor
9,17,863,0,9,7756,82.05,9,0,91,0.1,0,Good
5,12,719,26,6,3591,107.53,21,1,42,1.29,7,Avg
1,9,400,43,1,1842,155.46,45,2,32,3.58,10,Poor
5,14,612,23,5,4124,139.48,19,1,49,0.65,8,Avg
4,13,688,26,4,4126,84.07,24,1,49,1.46,9,Avg
1,8,446,46,2,1482,172.93,41,2,35,3.12,12,Poor
3,8,553,49,2,1235,210.97,49,2,39,3.05,13,Poor
5,15,741,39,6,3430,77.34,27,1,54,1.19,9,Avg
3,10,469,50,3,1119,237.64,42,2,29,2.86,10,Poor
10,16,861,14,7,7710,14.26,11,0,95,0.2,4,Good
